,y_test,y_pred,lower_pi,upper_pi
0,6.0,30.53354135382749,-18.692998852226264,79.76008155988124
1,20.45,24.280486302966423,-24.946053903087332,73.50702650902018
2,20.45,24.273459793946248,-24.953080412107507,73.5
3,20.45,25.112584128241597,-24.11395607781216,74.33912433429535
4,20.45,24.29098013054907,-24.935560075504686,73.51752033660283
5,20.45,24.280486302966423,-24.946053903087332,73.50702650902018
6,20.45,24.29098013054907,-24.935560075504686,73.51752033660283
7,20.45,24.273459793946248,-24.953080412107507,73.5
8,20.45,24.064757702094074,-25.16178250395968,73.29129790814783
9,7.0,27.355722767110432,-21.870817438943323,76.58226297316419
10,8.0,24.060356144874092,-25.166184061179663,73.28689635092785
11,8.0,24.05426387451143,-25.172276331542324,73.28080408056519
12,9.0,25.884688881890767,-23.341851324162988,75.11122908794452
13,9.0,25.84640655063346,-23.380133655420295,75.07294675668722
14,93.76666667,25.013932026805048,-24.212608179248708,74.2404722328588
15,93.76666667,24.27608474574644,-24.950455460307314,73.5026249518002
16,13.15,24.273459793946248,-24.953080412107507,73.5
17,14.0,24.04808765056222,-25.178452555491535,73.27462785661598
18,14.0,24.874764165993902,-24.351776040059853,74.10130437204765
19,14.0,25.76831782463798,-23.458222381415776,74.99485803069173
20,12.0,25.275960187865437,-23.95058001818832,74.50250039391919
21,7.583333333,24.293090542162815,-24.93344966389094,73.51963074821657
22,7.583333333,24.293090542162815,-24.93344966389094,73.51963074821657
23,7.583333333,24.293090542162815,-24.93344966389094,73.51963074821657
24,66.0,24.273459793946248,-24.953080412107507,73.5
25,1.116666667,24.101924618918837,-25.12461558713492,73.3284648249726
26,10.0,24.273459793946248,-24.953080412107507,73.5
27,30.0,24.280486302966423,-24.946053903087332,73.50702650902018
28,101.2,24.273459793946248,-24.953080412107507,73.5
29,101.2,24.289013475556327,-24.937526730497428,73.51555368161009
30,19.0,24.273459793946248,-24.953080412107507,73.5
31,35.51666667,25.08394336198861,-24.142596844065146,74.31048356804237
32,17.4,24.316718981133672,-24.909821224920083,73.54325918718743
33,10.61666667,25.728117362084234,-23.49842284396952,74.95465756813799
34,10.61666667,24.324183928818858,-24.902356277234897,73.55072413487261
35,6.0,25.483529777025762,-23.743010429027994,74.71006998307952
36,6.0,25.710395904150968,-23.516144301902788,74.93693611020473
37,10.0,24.31387895031947,-24.912661255734285,73.54041915637322
38,10.0,24.292076866021524,-24.93446334003223,73.51861707207527
39,11.08333333,23.03889750690018,-26.187642699153574,72.26543771295394
40,11.08333333,23.277123075089992,-25.949417130963763,72.50366328114374
41,11.08333333,23.988604395234592,-25.237935810819163,73.21514460128834
42,11.08333333,23.972347523087628,-25.254192682966128,73.19888772914138
43,11.08333333,24.09601490019234,-25.130525305861415,73.3225551062461
44,11.08333333,24.092951509727143,-25.133588696326612,73.3194917157809
